id;Name_User;Date_Comment;Type_Comment;Number_Likes;Text;Hashtag;Language;Reaction
198;R G;2018-03-24T16:48:44.000Z;Reply to R G;1;lol I can see how you thought that. I'm originally from Hawai'i and lived in Las Vegas, NV for awhile. That's where the Vegas moniker comes from. Came back to listen to this song again. I didn't think I had any replies. Have a great day my friend.;null;en;neutral
199;Ardi80;2018-03-19T09:57:32.000Z;Reply to R G;0;I mean all Spanish songs are called Latin, except those South American songs which called tropical;null;en;neutral
200;Lucas V.;2018-03-18T19:21:52.000Z;Reply to R G;0;This is from Spain, not Latin America. If you use the European meaning of Latin (the descendants of Rome: France, Italy, Spain, Portugal) then it is Latin, if you use the US definition, then it is NOT Latin.;null;en;neutral
201;Xavier Ollonarte Rovira;2018-03-17T12:35:12.000Z;Comment;0;TOP!!!!!!;null;en;positive
202;D Godfrey;2018-03-17T12:08:56.000Z;Comment;1;i dont understand what any of this actually is saying but i like it;null;en;positive
203;raul andrea;2018-03-17T11:46:09.000Z;Comment;0;great choice david bisbal and sebastian yatra, their voice sounds good. unfortunatly the song is empty. i hope they sing a song famous like "silencio" hit. my favourite artist is david bisbal:) nobody tells heehhe;null;en;negative
204;VictorE;2018-03-17T07:55:17.000Z;Comment;0;Todos con Amaia y Alfred. 😍Europa esta es #TuCanción😍 https://youtu.be/nO4mDiJRH6Q      😍All with Amaia and Alfred. Europe this is #TuCancion;#TuCanci;en;negative
205;luiso medina;2018-03-17T04:44:48.000Z;Reply to luiso medina;0;i loved this song;null;en;positive
206;Adi Ronen;2018-03-17T00:38:45.000Z;Comment;0;I love this song❤️❤️;null;en;positive
207;Xheo;2018-03-16T23:05:05.000Z;Comment;199;*muy top*;null;en;positive
208;Teresa Ayala Gene;2018-03-17T10:11:13.000Z;Reply to the lery show;0;the lery show canciones espanlas;null;en;neutral
209;Diana Mercado;2018-03-16T17:46:34.000Z;Comment;1;Great song I love them !!;null;en;positive
210;Alexandra Otazú;2018-03-16T17:02:22.000Z;Comment;32;I LOVE THIS SONG ❤️❤️❤️;null;en;
211;BrayanGchannel;2018-03-16T16:03:16.000Z;Comment;10;Top 💥;null;en
212;Ledif Sama;2018-03-16T14:28:39.000Z;Comment;0;This video is shit;null;en
213;Adrenaline Hunter;2018-03-16T13:26:26.000Z;Comment;0;Watch it Like it Enjoy! Sit back and relax, don't forget to SUBSCRIBE https://youtu.be/qEO8IdSYc7g;null;en;suggestion
214;Luisa Hernandez;2018-03-16T13:01:27.000Z;Comment;0;Love the song!!!;null;en;positive
215;prvi_s;2018-03-16T12:18:26.000Z;Comment;0;love this me encanta <3;null;en;positive
216;tapuchips 1;2018-03-16T08:15:19.000Z;Comment;0;David bisbal for eurovision plz A song like this!!!;null;en;suggestion
217;Myrtel Lou;2018-03-16T08:06:13.000Z;Comment;0;Love this guy💕 found his music s few years ago. Still listening 2018.;null;en;positive
218;Light Star;2018-03-16T07:46:16.000Z;Comment;0;Reaction: precioso video !!!;null;en;positive
219;Reina Del Infierno;2018-03-16T07:20:55.000Z;Comment;1;I fall in love with this song 😍😍😍😍Daviiiid te amo muchoooo;null;en;positive
220;John Johnny;2018-03-16T07:18:56.000Z;Comment;0;That is going be the hit of 2018, Bisbal,;null;en
221;Petra Muzlera;2018-03-16T06:43:05.000Z;Comment;0;David Bisbal + Tini =Todo es posible  Sebastian Yatra + Tini= Ya no hay nadie que nos pare... And finally David + Sebastian + TINI = Something big new I hope they are one day make a song together 😍😍;null;en;suggestion
222;AFCA1996;2018-03-16T06:39:10.000Z;Comment;0;Spanish best language in the world <33;null;en;positive
223;talknerdytome;2018-03-16T06:12:27.000Z;Comment;0;Just an English comment in a sea of Spanish. David Bisbal 😍😍 those vocals 😍😍;null;en;positive
224;Reyna Brown THALIFAN DEFENSORA de la reina Thalia;2018-03-16T05:08:40.000Z;Comment;1;Reggaeton 👎👎👎👎👎 #ThaliaReinaPopMundial;#ThaliaReinaPopMundial;en;negative
